,Key,Value
629,"('GL/PvdA', 'BIJ1', 'PvdD')",0
630,"('GL/PvdA', 'BIJ1', 'BBB')",0
631,"('GL/PvdA', 'BIJ1', 'Volt')",0
632,"('GL/PvdA', 'BIJ1', 'CU')",0
633,"('GL/PvdA', 'BIJ1', 'JA21')",0
634,"('GL/PvdA', 'BIJ1', 'VVD')",0
635,"('GL/PvdA', 'FvD', 'GL')",0
636,"('GL/PvdA', 'FvD', 'PVV')",0
637,"('GL/PvdA', 'FvD', 'Denk')",0
638,"('GL/PvdA', 'FvD', 'SP')",0
639,"('GL/PvdA', 'FvD', '50PLUS')",0
640,"('GL/PvdA', 'FvD', 'PvdD')",0
